,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2015-04-21,"12321,12322,12324,12325,12326,12327,12329,12330",8,"711.6294103265745,887.3196125291954,249.8231273430224,149.4498273314404,606.9609929100293,-473.36232304479927,836.5705735617978,-490.4662509353366","221.16789477146006,209.12744484420836,389.0937665216836,168.0208850127376,309.6254547194975,-75.67732428139708,-92.65602173448184,317.5166864381385","CSO,CRO,DKI,CKO,AXX,CSO,CRO,DSO","BETA,BETA,BETA,BETA,ALPHA,BETA,BETA,BETA","9,3,9,8,1,4,8,3"
2015-05-11,"12335,12337,12339,12340,12341,12342,12343,12344",8,"788.3296120496341,551.502244958309,-129.37866220390424,-414.06445287540555,-490.99591228039935,-673.2773357664701,-590.7601330655161,-885.8417039143387","-219.88083664272688,-221.93222709913016,265.15854543195735,-85.6366123800119,-268.163063980353,327.4179176421438,205.57936101853048,-148.09147028400204","CRO,CSO,FKC,CAO,HSX,CRO,CRO,HAX","BETA,BETA,BETA-GAMMA,BETA,ALPHA,BETA,BETA,ALPHA","4,4,35,3,1,4,2,1"
2015-08-26,"12403,12404",2,"473.86810038509145,664.5516531015892","-341.4671828918925,149.82544765702036","FKI,AXX","BETA-GAMMA-DELTA,ALPHA","40,1"
2015-08-27,12403,1,635.7803881341731,-341.56631857343876,FKC,BETA-GAMMA-DELTA,35
2016-01-30,"12488,12489,12490",3,"902.3087794182353,16.814602778502024,-209.29371327534318","104.71259400869337,266.8107657359208,-208.69877764070148","DAO,EKO,BXO","BETA,BETA,BETA","8,6,5"
2016-02-26,"12501,12506",2,"925.640782822911,-553.8043271612842","102.42547325028542,-19.058751248607617","HAX,CAO","ALPHA,BETA","1,5"
2016-05-03,"12535,12536,12539,12540,12541",5,"634.0530223778444,402.5136684716862,-111.94752874271944,-360.1874837819487,-854.8092540001962","164.4581599119043,319.37340066132487,325.4243458421545,412.527887993341,94.99427249643453","CAO,DAO,EAI,BXO,BXO","BETA,BETA,BETA,BETA,BETA","3,9,7,3,3"
2016-10-11,"12598,12599,12600,12601",4,"723.4428967241367,333.9743780118658,-308.446396849351,803.5190527215907","185.37895975304997,-341.2839835132886,87.34376259566194,44.34111984087233","CAI,CKO,HSX,CRO","BETA,BETA,ALPHA,BETA","11,9,1,3"
2017-03-02,"12638,12640,12641,12642",4,"763.9439489313594,296.67230108334445,-307.0111964715179,-179.96269226260483","332.61769439720325,265.7671088679373,345.4675363546804,349.81069751062427","HSX,AXX,DRO,CRO","ALPHA,ALPHA,BETA,BETA","1,2,7,5"
2017-06-30,12664,1,647.4925238770461,262.01231469327564,CSO,BETA,2
2017-07-01,12664,1,767.00353143236,252.15512058437173,HSX,ALPHA,1
2017-07-02,12664,1,849.6949181459688,276.3755480652623,HSX,ALPHA,1
2017-11-26,12689,1,132.40060275996507,194.6830962562029,CSO,BETA,3
2017-11-27,12689,1,340.9033244101476,198.04343192423121,CAO,BETA,5
2017-11-28,12689,1,531.7815807628743,202.13074507718787,CSO,BETA,5
2017-11-29,12689,1,720.0569042398112,190.34511580350878,CAO,BETA,4
2017-11-30,12689,1,863.9101537141175,195.48169096456536,HAX,ALPHA,2
2017-12-01,12689,1,928.0206894652565,215.97033605458017,HRX,ALPHA,1
2018-03-31,12703,1,-825.5444789913017,-78.21413628044961,AXX,ALPHA,1
2018-04-01,12703,1,-697.551072685048,-58.880544611324055,AXX,ALPHA,2
2018-05-22,12710,1,-820.3037276717369,274.7373278422112,CRO,BETA,2
2018-05-25,"12710,12711,12712",3,"-384.3067504330538,620.1083685517995,-892.430427945219","299.9706213784091,118.39917566053498,219.6240281616025","AXX,CAI,CSO","ALPHA,BETA,BETA","1,6,2"
2018-05-26,"12711,12712",2,"773.4874230749665,-763.6429256496485","112.58668367514721,242.30769474018632","CSO,CAO","BETA,BETA","5,7"
2018-11-20,12727,1,919.1144211150105,4.344437678131024,AXX,ALPHA,2
